J,v,e/f,State,Lambda,Sigma,LT (ps),Delta_C (ps),Tag,Type,Unc (ps),E
6.5,8,f,A2Sigma+,0,-0.5,19.37942518,0.166789339,P,Ca,2.492320361,50629.08481
7.5,8,f,A2Sigma+,0,0.5,17.33015585,0.171610559,P,Ca,2.251229261,50752.12394
8.5,8,f,A2Sigma+,0,-0.5,12.14717836,0.410258974,P,Ca,1.867920378,50886.86997
9.5,8,f,A2Sigma+,0,0.5,10.00819005,0.045721779,P,Ca,1.246704585,51034.59422
10.5,8,f,A2Sigma+,0,-0.5,9.990377718,0.047781248,P,Ca,1.246626574,51189.65476
11.5,8,f,A2Sigma+,0,0.5,11.2582858,0.035380136,P,Ca,1.386374432,51351.16247
0.5,9,e,A2Sigma+,0,0.5,158.5389677,0.452181493,P,Ca,19.47685762,51015.60257
1.5,9,e,A2Sigma+,0,-0.5,173.7343695,0.430069774,P,Ca,21.27819412,51027.40647
2.5,9,e,A2Sigma+,0,0.5,200.677456,1.218368241,P,Ca,25.29966297,51050.81693
3.5,9,e,A2Sigma+,0,-0.5,245.6272577,4.990878217,P,Ca,34.46614914,51085.24407
4.5,9,e,A2Sigma+,0,0.5,277.2677629,1.080442749,P,Ca,34.35257429,51130.30821
5.5,9,e,A2Sigma+,0,-0.5,258.9480273,2.106823539,P,Ca,33.18058681,51184.84965
6.5,9,e,A2Sigma+,0,0.5,198.7313691,1.445188149,P,Ca,25.29295245,51247.65609
7.5,9,e,A2Sigma+,0,-0.5,131.6139294,0.760696699,P,Ca,16.55436823,51316.83032
8.5,9,e,A2Sigma+,0,0.5,88.04842105,0.274543264,P,Ca,10.84035379,51389.29252
0.5,9,f,A2Sigma+,0,-0.5,171.3396848,0.433105864,P,Ca,20.99386804,51027.11502
1.5,9,f,A2Sigma+,0,0.5,198.3584315,1.957247101,P,Ca,25.76025888,51050.23835
2.5,9,f,A2Sigma+,0,-0.5,244.9695048,2.4608854,P,Ca,31.85722598,51084.6407
3.5,9,f,A2Sigma+,0,0.5,300.3911882,1.405743928,P,Ca,37.45268651,51129.45299
4.5,9,f,A2Sigma+,0,-0.5,310.5573989,1.106222566,P,Ca,38.37311044,51183.81171
5.5,9,f,A2Sigma+,0,0.5,258.0808296,0.693143109,P,Ca,31.66284266,51246.37256
6.5,9,f,A2Sigma+,0,-0.5,165.9520859,1.342832399,P,Ca,21.25708271,51315.3218
7.5,9,f,A2Sigma+,0,0.5,108.2965188,0.504822375,P,Ca,13.50040463,51387.67018
0.5,10,e,A2Sigma+,0,0.5,277.3962358,0.759318165,P,Ca,34.04686646,51369.58644
1.5,10,e,A2Sigma+,0,-0.5,310.7366177,2.477719805,P,Ca,39.76611393,51375.71203
2.5,10,e,A2Sigma+,0,0.5,396.679874,1.474354306,P,Ca,49.07593919,51387.66007
3.5,10,e,A2Sigma+,0,-0.5,590.3849421,9.69461249,P,Ca,80.54080554,51404.81554
4.5,10,e,A2Sigma+,0,0.5,1039.754842,7.382819153,P,Ca,132.1534002,51426.15076
5.5,10,e,A2Sigma+,0,-0.5,1248.317733,28.23204533,P,Ca,178.0301733,51449.96482
0.5,10,f,A2Sigma+,0,-0.5,307.2264719,0.830801458,P,Ca,37.69797809,51375.67804
1.5,10,f,A2Sigma+,0,0.5,381.9676415,2.398416711,P,Ca,48.23453369,51387.60576
2.5,10,f,A2Sigma+,0,-0.5,567.4866191,5.116422527,P,Ca,73.21481682,51404.7445
3.5,10,f,A2Sigma+,0,0.5,988.4444894,14.32283507,P,Ca,132.9361738,51426.06829
4.5,10,f,A2Sigma+,0,-0.5,1278.547157,3.788986818,P,Ca,157.2146456,51449.87859
22.5,0,e,A2Sigma+,0,0.5,5328477.383,293592.0156,BFP,Es,2904545.933,40513.80704
23.5,0,e,A2Sigma+,0,-0.5,4703421.787,259152.2837,BFP,Es,2563828.959,41198.18042
24.5,0,e,A2Sigma+,0,0.5,2208991.301,121712.4822,BFP,Es,1204118.22,41903.77157
25.5,0,e,A2Sigma+,0,-0.5,1109451.935,61129.32578,BFP,Es,604760.7739,42629.54709
13.5,0,f,A2Sigma+,0,0.5,6322599.63,348366.829,FN,Es,3446440.648,35911.74237
23.5,0,f,A2Sigma+,0,0.5,6555802.191,361215.9799,BFP,Es,3573559.053,41898.89365
25.5,0,f,A2Sigma+,0,0.5,760844.7162,41921.53176,BFP,Es,186482.0278,43369.27648
7.5,1,e,A2Sigma+,0,-0.5,13496407.21,743634.0837,FN,Es,7356873.616,36326.77917
8.5,1,e,A2Sigma+,0,0.5,25442079.05,1401824.712,FN,Es,13868443.45,36580.78425
9.5,1,e,A2Sigma+,0,-0.5,5599496.881,308524.8294,FN,Es,3052278.301,36865.28726
10.5,1,e,A2Sigma+,0,0.5,8208231.227,452262.6216,FN,Es,4474295.923,37179.85504
11.5,1,e,A2Sigma+,0,-0.5,7113860.82,391964.268,BFP,Es,3877756.07,37524.00885
12.5,1,e,A2Sigma+,0,0.5,11758249.98,647863.9325,BFP,Es,6409406.422,37897.22445
13.5,1,e,A2Sigma+,0,-0.5,5019771.07,276582.7084,BFP,Es,2736270.532,38298.9334
14.5,1,e,A2Sigma+,0,0.5,6539686.254,360328.0132,BFP,Es,3564774.278,38728.52299
15.5,1,e,A2Sigma+,0,-0.5,580400.4251,31979.29135,BFP,Es,142255.3721,39185.33764
18.5,1,e,A2Sigma+,0,0.5,189554.4624,10444.19872,BFP,Es,46459.54657,40711.93911
13.5,1,f,A2Sigma+,0,0.5,4810466.762,265050.3195,FN,Es,2622179.033,38725.51337
14.5,1,f,A2Sigma+,0,-0.5,1999622.839,110176.5585,BFP,Es,1089991.75,39182.14122
5.5,2,f,A2Sigma+,0,0.5,52773.60273,2907.755309,BFP,Es,9240.587637,38859.95261
27.5,3,e,A2Sigma+,0,-0.5,3.715905424,0.204741446,FN,Es,0.650650097,50536.13901
26.5,3,f,A2Sigma+,0,-0.5,4.057838496,0.223581503,FN,Es,0.710522123,50536.27665
27.5,3,f,A2Sigma+,0,0.5,3.121506502,0.171990856,FN,Es,0.546571636,51153.85945
19.5,4,e,A2Sigma+,0,-0.5,3.206132142,0.176653616,FN,Es,0.561389473,48030.04679
20.5,4,e,A2Sigma+,0,0.5,2.810502874,0.15485497,FN,Es,0.492115315,48498.82541
21.5,4,e,A2Sigma+,0,-0.5,2.478181533,0.136544506,FN,Es,0.43392629,48985.08544
22.5,4,e,A2Sigma+,0,0.5,2.429896284,0.133884053,FN,Es,0.425471607,49485.53847
23.5,4,e,A2Sigma+,0,-0.5,2.249249127,0.123930635,FN,Es,0.39384053,49998.696
24.5,4,e,A2Sigma+,0,0.5,2.313159328,0.127452002,FN,Es,0.405031121,50522.88749
25.5,4,e,A2Sigma+,0,-0.5,2.548750404,0.140432757,FN,Es,0.446282805,51056.20561
15.5,4,f,A2Sigma+,0,0.5,5.486807997,0.302315822,FN,Es,0.960732782,46717.78794
16.5,4,f,A2Sigma+,0,-0.5,4.722664005,0.260212504,FN,Es,0.826932185,47135.14778
18.5,4,f,A2Sigma+,0,-0.5,3.565162083,0.196435688,FN,Es,0.624255138,48026.41101
19.5,4,f,A2Sigma+,0,0.5,3.209404683,0.176833929,FN,Es,0.561962491,48498.41168
20.5,4,f,A2Sigma+,0,-0.5,2.582684922,0.142302504,FN,Es,0.452224694,48981.70856
21.5,4,f,A2Sigma+,0,0.5,2.315416853,0.127576389,FN,Es,0.405426411,49482.07298
22.5,4,f,A2Sigma+,0,-0.5,2.297637801,0.126596786,FN,Es,0.402313323,49995.15402
23.5,4,f,A2Sigma+,0,0.5,2.447897457,0.134875894,FN,Es,0.428623588,50519.28304
24.5,4,f,A2Sigma+,0,-0.5,2.715170192,0.149602266,FN,Es,0.475422689,51052.55526
0.5,5,e,A2Sigma+,0,0.5,2.979139094,0.164146601,FN,Es,0.521643292,45363.73657
3.5,5,e,A2Sigma+,0,-0.5,3.125400851,0.172205429,FN,Es,0.547253532,45513.78893
9.5,5,e,A2Sigma+,0,-0.5,2.651698425,0.146105056,FN,Es,0.464308867,46474.42065
11.5,5,e,A2Sigma+,0,-0.5,2.299067951,0.126675586,FN,Es,0.40256374,46979.78096
13.5,5,e,A2Sigma+,0,-0.5,2.129508683,0.117333096,FN,Es,0.372874138,47570.3925
14.5,5,e,A2Sigma+,0,0.5,2.154008706,0.118683014,FN,Es,0.377164059,47895.82451
15.5,5,e,A2Sigma+,0,-0.5,2.197321038,0.121069466,FN,Es,0.384747991,48240.19879
18.5,5,e,A2Sigma+,0,0.5,3.010625273,0.165881448,FN,Es,0.52715648,49376.74192
19.5,5,e,A2Sigma+,0,-0.5,3.74579515,0.20638833,FN,Es,0.655883748,49786.05801
8.5,5,f,A2Sigma+,0,-0.5,2.65631635,0.146359497,FN,Es,0.465117459,46473.41763
13.5,5,f,A2Sigma+,0,0.5,2.108770092,0.116190427,FN,Es,0.369242838,47894.12824
14.5,5,f,A2Sigma+,0,-0.5,2.080872081,0.114653284,FN,Es,0.364357933,48238.38127
16.5,5,f,A2Sigma+,0,-0.5,2.493237054,0.137374045,FN,Es,0.436562492,48979.75517
17.5,5,f,A2Sigma+,0,0.5,2.983133751,0.164366701,FN,Es,0.522342752,49374.60949
19.5,5,f,A2Sigma+,0,0.5,5.621577224,0.309741427,FN,Es,0.984330694,50205.93724
18.5,6,f,A2Sigma+,0,-0.5,4.913871425,0.270747779,FN,Es,0.86041235,51205.58763
11.5,7,f,A2Sigma+,0,0.5,5.662221045,0.311980847,FN,Es,0.991447373,50393.39339
